,base,authors_l,title_l,title,journal_l,keywords_l,year,language
1,brapci,"ronaldo ferreira de araujo, ariadne chloe mary furnival",comunicacao cientifica e atencao online em busca de colegios virtuais que sustentam metricas alternativas,Comunicação científica e atenção online: em busca de colégios virtuais que sustentam métricas alternativas,informacao informacao,"altmetria, atenção online, ciência da informação, colégio virtual, comunicação científica",2016,Portuguese
2,brapci,"raul gonzalo torricella-morales, ricardo arencibia-jorge",el indice wally una propuesta altmetrica para las editoriales cubanas indexadas en la plataforma e libro com,El Índice Wally: una propuesta altmétrica para las editoriales cubanas indexadas en la plataforma e-Libro.com,bibliotecas anales de investigacion cuba,"academic editorials, altmetria, altmetrics, com, editoriales académicas, electronic book, indicador de uso, libro electrónico, plataforma e-libro, platform e-libro, usage indicator",2018,Spanish
3,brapci,"crispulo travieso-rodriguez, ronaldo ferreira de araujo",indicadores altmetricos y de citacion en la produccion cientifica en scienceopen estudio descriptivo para brasil espana y portugal,"Indicadores altmétricos y de citación en la producción científica en ScienceOpen: estudio descriptivo para Brasil, España y Portugal",bibliotecas anales de investigacion cuba,"altmetria, altmetrics, análisis de citas, bibliometria, bibliometrics, citation analysis, producción científica, scienceopen, scientific production",2018,Spanish
4,brapci,"milton shintaku, janinne barcelos, ronaldo araujo, ronnie fagundes brito",mega periodicos e altmetria aproximacoes entre novas formas de publicacao e de avaliacao de impacto de resultados de pesquisa,Mega-Periódicos e altmetria: aproximações entre novas formas de publicação e de avaliação de impacto de resultados de pesquisa,encontros bibli,"altmetria, altmetrics, biblioteconomia, ciência da informação, comunicação científica, comunicação científica e internet, information science, library science, mega-journals, mega-periódico, scientific communication, scientific communication and internet",2018,Portuguese
5,brapci,"paulo roberto cintra, janaina oliveira pamplona da costa",altmetria questionamentos ao paradigma vigente para avaliacao da producao cientifica,Altmetria: questionamentos ao paradigma vigente para avaliação da produção científica,informacao informacao,"altmetria, avaliação, biblioteconomia, ciência da informação, método quantitativo, paradigma, produção científica",2018,Portuguese
12,brapci,danielly dos santos ribeiro,ferramentas de metricas alternativas para livros,Ferramentas de métricas alternativas para livros,revista brasileira de biblioteconomia e documentacao,"altmetrics, avaliação da produção científica, métrica alternativa para livro",2018,Portuguese
13,brapci,ronaldo ferreira de araujo,estudos metricos da informacao na web e o papel dos profissionais da informacao,Estudos métricos da informação na web e o papel dos profissionais da informação,bibliotecas universitarias,,2015,Portuguese
14,brapci,"ronaldo ferreira de araujo, tiago rodrigo marcal murakami, jorge moises kroll prado",a repercussao de artigos de periodicos brasileiros da ciencia da informacao no facebook um estudo altmetrico,A repercussão de artigos de periódicos brasileiros da ciência da informação no Facebook: um estudo altmétrico,revista digital de biblioteconomia ciencia da informacao,"altimetría, altmetria, altmetrics, atención en línea, atenção online, biblioteconomia, ciencia de la información, ciência da informação, facebook, information science, librarianship, online attention",2018,Portuguese
17,brapci,fabio castro gouveia,altmetria metricas de producao cientifica para alem das citacoes altmetrics scientific production metrics beyond citations,Altmetria: métricas de produção científica para além das citações ? Altmetrics: scientific production metrics beyond citations,liinc em revista,"altmetria, bibliometria, cibermetria, cientometria, webometria",2013,Portuguese
18,brapci,"vildeane da rocha borba, andrea carla de melo marinho, sonia elisa caregnato",analise do termo repositorio institucional no twitter um estudo altmetrico,Análise do termo ?Repositório Institucional? no Twitter: um estudo altmétrico,em questao,"alternative metrics, altmetria, altmetrics, ciência da informação, ciëncia social aplicada, comunicação científica, institutional repository, métrica alternativa, repositório institucional, scientific communication, twitter",2017,Portuguese
19,brapci,ronaldo ferreira de araujo,midias sociais e comunicacao cientifica analise altmetrica em artigos de periodicos da ciencia da informacao,Mídias sociais e comunicação científica: análise altmétrica em artigos de periódicos da ciência da informação,em questao,"altmetria, altmetrics, ciência da informação, comunicação científica, mídia social, scientific communication, social media",2015,Portuguese
21,brapci,"paula wivianne quirino dos santos, joao pedro silva albuquerque",altmetria uma nova lente para os estudos metricos da informacao,Altmetria: Uma nova lente para os estudos métricos da informação,biblionline,,2017,Portuguese
22,brapci,ronaldo ferreira de araujo,marketing cientifico digital e metricas alternativas para periodicos da visibilidade ao engajamento,Marketing científico digital e métricas alternativas para periódicos: da visibilidade ao engajamento,perspectivas em ciencia da informacao,"altmetria, biblioteconomia, ciência da informação, comunicação científica, marketing científico digital, visibilidade de periódico",2015,Portuguese
24,brapci,"fernanda bochi santos, gonzalo ruben alvarez, rene faustino gabriel junior, ana maria mielniczuk moura",altmetria no brasil estudo de citacao e cocitacao na base de dados brapci,Altmetria no Brasil: estudo de citação e cocitação na base de dados BRAPCI,prisma com portugual,,2018,Portuguese
29,brapci,"ronaldo ferreira de araujo, marcelo alves",indicadores altmetricos da producao de pesquisadores brasileiros analise dos bolsistas de produtividade do cnpq,Indicadores altmétricos da produção de pesquisadores brasileiros: análise dos bolsistas de produtividade do CNPq,revista ibero americana de ciencia da informacao,,2019,Portuguese
30,brapci,ronaldo ferreira de araujo,da altmetria a analise de citacoes uma analise da revista datagramazero,Da altmetria à análise de citações: uma análise da revista Datagramazero,datagramazero,"altmetria, altmetrics, citation, citação, comunicação científica, revista datagramazero, scholarly communication",2015,Portuguese
31,brapci,"ronaldo ferreira de araujo, gustavo miranda caran, iara vidal pereira de souza",orientacao tematica e coeficiente de correlacao para analise comparativa entre dados altmetricos e citacoes uma analise da revista datagramazero,Orientação temática e coeficiente de correlação para análise comparativa entre dados altmétricos e citações: uma análise da revista DataGramaZero,em questao,"altmetria, altmetrics, citation, citação, ciência da informação, ciëncia social aplicada, coeficiente de correlação, correlation coefficient",2016,Portuguese
32,brapci,"paulo roberto cintra, ariadne chloe furnival, douglas henrique milanez",vantagens de citacao do acesso aberto em periodicos selecionados da ciencia da informacao uma analise ampliada aos indicadores altmetricos,Vantagens de citação do acesso aberto em periódicos selecionados da Ciência da Informação: uma análise ampliada aos indicadores altmétricos,informacao informacao,"acesso aberto, altmetria, bibliometria, biblioteconomia, ciência da informação, método quantitativo, periódico",2017,Portuguese
36,brapci,iara vidal pereira de souza,altmetria estado da arte,ALTMETRIA: ESTADO DA ARTE,tendencias da pesquisa brasileira em ciencia da informacao,,2014,Portuguese
37,brapci,"vildeane da rocha borba, gonzalo ruben alvarez, sonia elisa caregnato",analise altmetrica da producao cientifica das revistas brasileiras em ciencia da informacao qualis a1 2011 2017 no mendeley,Análise Altmétrica da Produção Científica das Revistas brasileiras em Ciência da Informação Qualis A1 (2011-2017) no Mendeley,encontros bibli,"altmetria, altmetrics, atenção online, biblioteconomia, ciência da informação, mendeley, online attention, periódico científico, scientific journals",2019,Portuguese
42,brapci,"ilidio lobato ernesto manhique, fernando de assis rodrigues, ricardo cesar goncalves santana, helen castro silva casarin",indicadores altmetricos em periodicos brasileiros da ciencia da informacao,Indicadores altmétricos em periódicos brasileiros da Ciência da Informação,revista ibero americana de ciencia da informacao,,2019,Portuguese
43,brapci,"ana maria ferreira carvalho, fabio castro gouveia",repositorios institucionais de acesso aberto adequacao as novas metricas da web,Repositórios institucionais de acesso aberto: adequação às novas métricas da web,revista eletronica de comunicacao informacao e inovacao em saude,"acceso abierto, comunicación científica, identificadores, indicators, institutional repositories, métricas da web, open access, repositorios institucionales, scientific communication, web metrics",2017,Portuguese
